4,9976774
4,3076268
5,7361973
5,3615224
4,9485822
4,5606113
5,4933887
4,4748485
4,554385
5,6372053
4,9423744
5,5494216
4,7302392
4,5259446
4,4187838
5,5930039
4,7211135
4,9953534
6,3850777
5,7961208
5,5052279
5,0384564
5,6741241
4,7358979
5,151628
4,8522756
5,9560892
5,3445972
5,4338441
6,3460567
4,302041
4,9792287
4,3330708
5,2029297
4,5099097
5,2113767
5,2386686
5,3355683
4,6765027
4,7169409
4,1345711
4,5126839
5,3160222
5,2442037
5,4137638
4,8513087
4,595713
5,353108
5,2493853
5,3656056
6,1389185
4,9354803
4,8737337
4,8399713
5,3464914
5,2034686
4,4469717
5,2012476
5,1320654
5,2193637
5,410377
5,6301472
5,2436628
4,2897263
4,0019997
5,6898085
4,9287468
5,4387138
5,1454041
4,7124229
5,1153261
5,4870832
4,832919
5,1725014
5,1500382
4,3319967
4,9960574
4,8469312
5,2574048
5,7866126
4,6505206
5,1308607
5,47417
4,792941
4,365738
4,8678866
5,7941536
6,0712871
4,6801366
5,2497849
5,6517124
5,380942
5,358531
5,9556378
4,9232984
4,9065185
4,8672541
3,7286548
5,5758451
4,8985772
